,Name,Rating,Genre,Release date,Runtime,Director,Link
82,Fate/Grand Order Final Singularity – Grand Temple of Time: Solomon,62.0,"Animation, Action, Adventure, Fantasy",        07/30/2021 (JP)      ,              1h 34m          ,Toshifumi Akai,https://www.themoviedb.org/movie/829920
83,The Bubble,49.0,Comedy,        03/25/2022 (US)      ,              2h 6m          ,Judd Apatow,https://www.themoviedb.org/movie/765119
84,Avatar,75.0,"Action, Adventure, Fantasy, Science Fiction",        08/27/2010 (IN)      ,              2h 42m          ,James Cameron,https://www.themoviedb.org/movie/19995
85,Death on the Nile,65.0,"Crime, Drama, Mystery, Thriller",        02/11/2022 (US)      ,              2h 7m          ,Kenneth Branagh,https://www.themoviedb.org/movie/505026
86,Free Guy,77.0,"Comedy, Action, Adventure, Science Fiction",        09/17/2021 (IN)      ,              1h 55m          ,Shawn Levy,https://www.themoviedb.org/movie/550988
87,The Hunting,49.0,Horror,        01/21/2022 (US)      ,              1h 31m          ,Mark Andrew Hamer,https://www.themoviedb.org/movie/870671
88,Ron's Gone Wrong,81.0,"Animation, Science Fiction, Family, Comedy",        10/22/2021 (US)      ,              1h 47m          ,Jean-Philippe Vine,https://www.themoviedb.org/movie/482321
89,Luca,79.0,"Animation, Comedy, Family, Fantasy, Adventure",        06/17/2021 (RU)      ,              1h 35m          ,Enrico Casarosa,https://www.themoviedb.org/movie/508943
90,The Last Warrior: Root of Evil,72.0,"Fantasy, Adventure, Comedy",        01/01/2021 (RU)      ,              2h          ,Dmitriy Dyachenko,https://www.themoviedb.org/movie/589754
91,Dune,79.0,"Science Fiction, Adventure",        10/22/2021 (IN)      ,              2h 35m          ,Denis Villeneuve,https://www.themoviedb.org/movie/438631
92,F9,73.0,"Action, Crime, Thriller, Adventure",        06/25/2021 (IN)      ,              2h 23m          ,Justin Lin,https://www.themoviedb.org/movie/385128
93,Deep Water,56.0,"Drama, Mystery, Thriller",        03/18/2022 (US)      ,              1h 56m          ,Adrian Lyne,https://www.themoviedb.org/movie/619979
94,Sex Appeal,66.0,"Comedy, Romance",        01/14/2022 (US)      ,              1h 30m          ,Talia Osteen,https://www.themoviedb.org/movie/803104
95,One Shot,68.0,Action,        01/21/2022 (ES)      ,              1h 37m          ,James Nunn,https://www.themoviedb.org/movie/811592
96,Deathstroke: Knights & Dragons - The Movie,69.0,"Animation, Action, Adventure, Science Fiction",        08/04/2020 (US)      ,              1h 27m          ,Sung Jin Ahn,https://www.themoviedb.org/movie/703771
97,No Time to Die,75.0,"Adventure, Action, Thriller",        09/30/2021 (IN)      ,              2h 43m          ,Cary Joji Fukunaga,https://www.themoviedb.org/movie/370172
98,Jujutsu Kaisen 0,77.0,"Animation, Action, Adventure, Mystery",        12/24/2021 (JP)      ,              1h 45m          ,Sunghoo Park,https://www.themoviedb.org/movie/810693
99,Cruella,82.0,"Comedy, Crime, Adventure",        05/28/2021 (GB)      ,              2h 14m          ,Craig Gillespie,https://www.themoviedb.org/movie/337404
100,After We Fell,71.0,"Romance, Drama",        09/30/2021 (US)      ,              1h 39m          ,Castille Landon,https://www.themoviedb.org/movie/744275
101,The Weekend Away,59.0,"Thriller, Mystery",        03/03/2022 (US)      ,              1h 31m          ,Kim Farrant,https://www.themoviedb.org/movie/840882
102,Brazen,49.0,"Thriller, Mystery, Drama",        01/13/2022 (US)      ,              1h 34m          ,Monika Mitchell,https://www.themoviedb.org/movie/916740
103,Marry Me,69.0,"Romance, Comedy, Music",        02/11/2022 (US)      ,              1h 52m          ,Kat Coiro,https://www.themoviedb.org/movie/615904
104,Forever Out of My League,56.0,"Romance, Comedy",        01/31/2022 (IT)      ,              1h 44m          ,Claudio Norza,https://www.themoviedb.org/movie/790525
105,Antlers,64.0,"Drama, Horror, Mystery",        10/29/2021 (US)      ,              1h 39m          ,Scott Cooper,https://www.themoviedb.org/movie/516329
106,Diary of a Wimpy Kid,64.0,"Animation, Comedy, Family",        12/03/2021 (US)      ,              58m          ,Swinton O. Scott III,https://www.themoviedb.org/movie/774741
107,The Help,82.0,Drama,        11/25/2011 (IN)      ,              2h 26m          ,Tate Taylor,https://www.themoviedb.org/movie/50014
108,Two,55.0,"Thriller, Horror",        07/23/2021 (ES)      ,              1h 11m          ,Mar Targarona,https://www.themoviedb.org/movie/811072
109,Battle: Freestyle,51.0,"Romance, Drama",        04/01/2022 (US)      ,              1h 28m          ,Ingvild Søderlind,https://www.themoviedb.org/movie/785521
110,Godzilla vs. Kong,78.0,"Action, Fantasy, Science Fiction",        03/24/2021 (IN)      ,              1h 53m          ,Adam Wingard,https://www.themoviedb.org/movie/399566
111,All Hail,62.0,"Comedy, Drama",        03/30/2022 (AR)      ,              1h 58m          ,Marcos Carnevale,https://www.themoviedb.org/movie/682344
112,Mother/Android,58.0,"Science Fiction, Thriller",        12/17/2021 (US)      ,              1h 51m          ,Mattson Tomlin,https://www.themoviedb.org/movie/739413
113,Harry Potter and the Philosopher's Stone,79.0,"Adventure, Fantasy",        04/12/2002 (IN)      ,              2h 32m          ,Chris Columbus,https://www.themoviedb.org/movie/671
114,Jungle Cruise,76.0,"Action, Adventure, Fantasy",        09/24/2021 (IN)      ,              2h 7m          ,Jaume Collet-Serra,https://www.themoviedb.org/movie/451048
115,Infinite,68.0,"Science Fiction, Action, Thriller",        09/09/2021 (NL)      ,              1h 46m          ,Antoine Fuqua,https://www.themoviedb.org/movie/581726
